#Antares,16h29m24.46s,hourangle,-26d25m55.21s,deg
#Acrux,12h26m35.9s,hourangle,-63d05m56.7s,deg
#Betelgeuse,05h55m10.31s,hourangle,07d24m25.43s,deg
9884,21h42m11.210s,hourangle,-34d09m46.940s,deg
9885,20h55m29.180s,hourangle,-01d13m43.860s,deg
